Dataset,K,Repetition,Seed,Model,TunedParameters,DataBudgetProtocol,Method,Epsilon,Alpha,Accuracy,Unfairness,OptimizerSuccess,OptimizerStatus,OptimizerMessage,OptimizerIterations,PostprocessRuntimeSeconds,Convergence,SolverResidual,ProjectionRho,ProjectionMaxIterRequested,ProjectionDivergence,ProjectionMethod,TransportCalibrationDPGap,TransportObjective,TransportMIPSolver,TransportQPSolver
DRUG,4,1,10777,reglog,{},paper,Our Eps-Fair,0.3,,0.47214854111405835,0.30747175381820246,True,0,Optimization terminated successfully,9.0,0.010912855999777094,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,reglog,{},paper,Our Eps-Fair,0.4,,0.47745358090185674,0.3268892295463578,True,0,Optimization terminated successfully,1.0,0.0012769219902111217,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,reglog,{},paper,Our Eps-Fair,0.5,,0.47745358090185674,0.3268892295463578,True,0,Optimization terminated successfully,1.0,0.0012742819963023067,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,reglog,{},paper,FairProjection,,0.0,0.46949602122015915,0.17682961448929768,True,completed_without_exception,convergence_not_observable,,2.9874174919823417,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,1,10777,reglog,{},paper,FairProjection,,0.1,0.47480106100795755,0.21975245557258843,True,completed_without_exception,convergence_not_observable,,2.9606547440052964,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,1,10777,reglog,{},paper,FairProjection,,0.2,0.4827586206896552,0.22863793788678816,True,completed_without_exception,convergence_not_observable,,2.9848069849977037,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,1,10777,reglog,{},paper,FairProjection,,0.5,0.47745358090185674,0.3268892295463578,True,completed_without_exception,convergence_not_observable,,3.004077484001755,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,1,10777,reglog,{},paper,FairProjection,,0.75,0.47745358090185674,0.3268892295463578,True,completed_without_exception,convergence_not_observable,,2.9681206299865153,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,1,10777,reglog,{},paper,Fair-transport,,0.0,0.4588859416445623,0.09021745301765743,True,completed_without_exception,optimal,,0.05203522399824578,optimal,,,,,,3.910317070143776e-10,0.5751488472849541,CLARABEL,OSQP
DRUG,4,1,10777,reglog,{},paper,Fair-transport,,0.1,0.48010610079575594,0.17898711179242602,True,completed_without_exception,optimal,,0.058665933000156656,optimal,,,,,,0.10000000119042879,0.5604759880535682,CLARABEL,OSQP
DRUG,4,1,10777,reglog,{},paper,Fair-transport,,0.2,0.4854111405835544,0.22863793788678816,True,completed_without_exception,optimal,,0.05720227198617067,optimal,,,,,,0.20000000054649256,0.5557437347911176,CLARABEL,OSQP
DRUG,4,1,10777,reglog,{},paper,Fair-transport,,0.3,0.46949602122015915,0.3016238006018282,True,completed_without_exception,optimal,,0.04925003099197056,optimal,,,,,,0.30000000012593764,0.5534943033958917,CLARABEL,OSQP
