Dataset,K,Model,Method,Epsilon,Alpha,AccuracyMean,AccuracyStd,UnfairnessMean,UnfairnessStd,RuntimeMean,RuntimeStd,Repetitions,OptimizerSuccessRate
DRUG,4,RF,Our Eps-Fair,0.3,,0.4593280282935455,0.026844174962176563,0.22293003274096784,0.03344868700617664,0.0022791066665377004,0.001993536211008184,30,1.0
DRUG,4,RF,Our Eps-Fair,0.4,,0.4592396109637489,0.02688616851636601,0.2232867768125816,0.03375122266354481,0.0018919466667284724,0.0001576166293914762,30,1.0
DRUG,4,RF,Our Eps-Fair,0.5,,0.4593280282935455,0.026844174962176563,0.22344858911031626,0.03392467777665344,0.0019134166665025986,0.00018430813249970814,30,1.0
DRUG,4,RF,Unfair,,,0.4593280282935455,0.026844174962176563,0.22344858911031626,0.03392467777665344,0.0,0.0,30,1.0
DRUG,4,reglog,Fair-transport,,0.0,0.44279398762157385,0.025057088054408705,0.11048751868884725,0.0577221530695007,0.10720962999973077,0.04714488493293515,30,1.0
DRUG,4,reglog,Fair-transport,,0.1,0.4663129973474801,0.024533275026680075,0.17453206911561533,0.04457431308414421,0.09695780333349831,0.004555838764654973,30,1.0
DRUG,4,reglog,Fair-transport,,0.2,0.468788682581786,0.02119651721196968,0.23238706258634723,0.05087099309279401,0.08975518666714682,0.009292642125896368,30,1.0
DRUG,4,reglog,Fair-transport,,0.3,0.4676392572944297,0.020021845338096932,0.31542137436363293,0.045882232331530444,0.09308101333299419,0.007856840295768974,30,1.0
DRUG,4,reglog,Fair-transport,,0.4,0.4651635720601238,0.01951041509297901,0.3498164234750847,0.03847092356609624,0.08826187000001179,0.009829124712275586,30,1.0
DRUG,4,reglog,FairProjection,,0.0,,,,,,,30,0.0
DRUG,4,reglog,FairProjection,,0.1,,,,,,,30,0.0
DRUG,4,reglog,FairProjection,,0.2,,,,,,,30,0.0
DRUG,4,reglog,FairProjection,,0.5,,,,,,,30,0.0
DRUG,4,reglog,FairProjection,,0.75,,,,,,,30,0.0
DRUG,4,reglog,Our Eps-Fair,0.0,,0.43846153846153846,0.024441628197526606,0.08498741459906507,0.04483183354802034,0.05049063666665461,0.01249129750786388,30,1.0
DRUG,4,reglog,Our Eps-Fair,0.1,,0.4645446507515473,0.023946077935359755,0.16365752569125078,0.043281282115196267,0.04224682999993092,0.008919263812034024,30,1.0
DRUG,4,reglog,Our Eps-Fair,0.2,,0.4664898320070734,0.02278307884320595,0.22742008743541703,0.05029586272088876,0.023637103333627844,0.00606902519096233,30,1.0
DRUG,4,reglog,Our Eps-Fair,0.3,,0.4648983200707339,0.02014004656523647,0.3141562103749125,0.043081202566545324,0.014916583333251765,0.00851963553838301,30,1.0
DRUG,4,reglog,Our Eps-Fair,0.4,,0.4648983200707339,0.019994966703670757,0.3455761842578398,0.043480801875192134,0.0019991366666848383,0.00019663096975090427,30,1.0
DRUG,4,reglog,Our Eps-Fair,0.5,,0.4648983200707339,0.019994966703670757,0.3455761842578398,0.043480801875192134,0.0019977766662729363,0.00020732042406822537,30,1.0
DRUG,4,reglog,Unfair,,,0.4648983200707339,0.019994966703670757,0.3455761842578398,0.043480801875192134,0.0,0.0,30,1.0
